'that', 'political' | In regular: 0 | In spam: 1
'medical', 'group' | In regular: 0 | In spam: 1
'layerobject', 'about' | In regular: 0 | In spam: 1
'julia', 'klueva' | In regular: 1 | In spam: 0
'math', 'elem' | In regular: 0 | In spam: 1
'begin', 'return' | In regular: 0 | In spam: 1
'disney', 'production' | In regular: 0 | In spam: 1
'could', 'they' | In regular: 0 | In spam: 1
'merchandising', 'from' | In regular: 0 | In spam: 1
'that', 'united' | In regular: 2 | In spam: 0
'situation', 'does' | In regular: 0 | In spam: 1
'homes', 'address' | In regular: 0 | In spam: 1
'tone', 'regret' | In regular: 0 | In spam: 1
'investigated', 'color' | In regular: 0 | In spam: 1
'reports', 'layman' | In regular: 0 | In spam: 1
'programs', 'licensing' | In regular: 0 | In spam: 1
'proud', 'him' | In regular: 2 | In spam: 0
'different', 'concentrations' | In regular: 0 | In spam: 1
'have', 'tolowercase' | In regular: 0 | In spam: 1
'neurobiologie', 'visual' | In regular: 1 | In spam: 0
'care', 'pros' | In regular: 0 | In spam: 1
'tubercinae', 'nontoxic' | In regular: 0 | In spam: 1
'before', 'didnt' | In regular: 0 | In spam: 1
'american', 'journal' | In regular: 0 | In spam: 1
'sizea', 'hrefhttpwwwantispytechcomgadget' | In regular: 0 | In spam: 1
'photos', 'great' | In regular: 2 | In spam: 0
'zygvx', 'cocnw' | In regular: 0 | In spam: 1
'gazzihotmailcom', 'anapaulitahotmailcom' | In regular: 0 | In spam: 1
'letter', 'for' | In regular: 0 | In spam: 1
'states', 'afontdiv' | In regular: 1 | In spam: 0
'himself', 'other' | In regular: 0 | In spam: 1
'with', 'most' | In regular: 3 | In spam: 0
'situation', 'firing' | In regular: 0 | In spam: 1
'discounts', 'insurance' | In regular: 1 | In spam: 0
'arguing', 'connell' | In regular: 0 | In spam: 1
'clrover', 'before' | In regular: 0 | In spam: 1
'with', 'rising' | In regular: 0 | In spam: 7
'classifieds', 'menubar' | In regular: 0 | In spam: 1
'able', 'document' | In regular: 0 | In spam: 1
'krddartinc', 'rights' | In regular: 0 | In spam: 1
'still', 'dialogue' | In regular: 0 | In spam: 1
'ralaeleehotmailcom', 'lucasandersonhotmailcom' | In regular: 0 | In spam: 1
'tested', 'robert' | In regular: 0 | In spam: 1
'wheeler', 'steven' | In regular: 1 | In spam: 0
'university', 'wisconsin' | In regular: 1 | In spam: 0
'facedarial', 'sizedtoncraftfontdiv' | In regular: 1 | In spam: 0
'about', 'prototype' | In regular: 0 | In spam: 1
'showresults', 'which' | In regular: 0 | In spam: 1
'form', 'location' | In regular: 0 | In spam: 1
'suggests', 'equally' | In regular: 0 | In spam: 1
'dominate', 'stars' | In regular: 0 | In spam: 1
'national', 'neuroscience' | In regular: 1 | In spam: 0
'from', 'localhost' | In regular: 2 | In spam: 0
'north', 'american' | In regular: 1 | In spam: 0
'nicolas', 'franck' | In regular: 1 | In spam: 0
'forwardlooking', 'statements' | In regular: 0 | In spam: 3
'decision', 'join' | In regular: 1 | In spam: 0
'bannatyne', 'stephen' | In regular: 1 | In spam: 0
'madxhotmailcom', 'teredmhotmailcom' | In regular: 0 | In spam: 1
'bull', 'offsettop' | In regular: 0 | In spam: 1
'only', 'decoration' | In regular: 0 | In spam: 1
'electrotechnology', 'professionals' | In regular: 1 | In spam: 0
'esmtp', 'haqimoj' | In regular: 1 | In spam: 0
'looked', 'him' | In regular: 0 | In spam: 1
'ce', 'chinezon' | In regular: 0 | In spam: 1
'free', 'medical' | In regular: 0 | In spam: 6
'because', 'they' | In regular: 0 | In spam: 2
'hafid', 'applied' | In regular: 0 | In spam: 1
'ppswmercppswrugnl', 'ppswmercppswrugnl' | In regular: 1 | In spam: 0
'', 'membership' | In regular: 2 | In spam: 0
'french', 'http' | In regular: 0 | In spam: 1
'cars', 'between' | In regular: 0 | In spam: 1
'expression', 'embryos' | In regular: 1 | In spam: 0
'demand', 'the' | In regular: 0 | In spam: 1
'supply', 'store' | In regular: 0 | In spam: 1
'offer', 'extended' | In regular: 0 | In spam: 1
'this', 'many' | In regular: 0 | In spam: 1
'function', 'getheight' | In regular: 0 | In spam: 1
'valigndtop', 'aligndright' | In regular: 0 | In spam: 8
'document', 'substance' | In regular: 0 | In spam: 1
'next', 'conflict' | In regular: 0 | In spam: 1
'nssrc', 'family' | In regular: 0 | In spam: 1
'faculty', 'medical' | In regular: 4 | In spam: 0
'management', 'community' | In regular: 0 | In spam: 1
'student', 'postdoc' | In regular: 1 | In spam: 0
'verdana', 'nssrc' | In regular: 0 | In spam: 1
'official', 'conflict' | In regular: 0 | In spam: 1
'radio', 'barred' | In regular: 0 | In spam: 1
'conflict', 'make' | In regular: 0 | In spam: 1
'hate', 'only' | In regular: 0 | In spam: 1
'messageid', 'afeadcbbcbcffwkmailnwonl' | In regular: 1 | In spam: 0
'cypm', 'acquires' | In regular: 0 | In spam: 1
'oropezahotmailcom', 'aliciastpihotmailcom' | In regular: 0 | In spam: 1
'days', 'ixgn' | In regular: 0 | In spam: 1
'lucia', 'foundation' | In regular: 1 | In spam: 0
'muze', 'cannot' | In regular: 0 | In spam: 1
'union', 'united' | In regular: 3 | In spam: 0
'stocked', 'gerts' | In regular: 1 | In spam: 0
'after', 'color' | In regular: 0 | In spam: 1
'shadow', 'family' | In regular: 0 | In spam: 1
'hatred', 'violence' | In regular: 0 | In spam: 1
'isis', '' | In regular: 1 | In spam: 0
'santonio', 'this' | In regular: 0 | In spam: 1
'color', 'and' | In regular: 1 | In spam: 0
'search', 'autoclass' | In regular: 1 | In spam: 0
'schwarzenegger', 'really' | In regular: 0 | In spam: 1
'browser', 'time' | In regular: 0 | In spam: 1
'fighters', 'africa' | In regular: 0 | In spam: 1
'their', 'related' | In regular: 0 | In spam: 1
'facilitation', 'electrocorticographic' | In regular: 1 | In spam: 0
'imaging', 'nuclear' | In regular: 1 | In spam: 0
'worden', 'ontleend' | In regular: 1 | In spam: 0
'this', 'report' | In regular: 0 | In spam: 6
'scientific', 'informations' | In regular: 1 | In spam: 0
'drinking', 'with' | In regular: 1 | In spam: 0
'information', 'wwwnwonleandb' | In regular: 1 | In spam: 0
'benefit', 'such' | In regular: 2 | In spam: 0
'some', 'best' | In regular: 0 | In spam: 1
'correlated', 'stage' | In regular: 1 | In spam: 0
'following', 'elem' | In regular: 0 | In spam: 1
'mailmedrugnl', '' | In regular: 2 | In spam: 0
'haidarhotmailcom', 'smiledelhotmailcom' | In regular: 0 | In spam: 1
'turn', 'travel' | In regular: 0 | In spam: 1
'background', 'sallyanne' | In regular: 0 | In spam: 1
'invention', 'privacy' | In regular: 0 | In spam: 1
'policy', 'classname' | In regular: 0 | In spam: 1
'been', 'offsetparent' | In regular: 0 | In spam: 1
'httpwwwieeeorgmembershipsurveyhtml', 'feel' | In regular: 1 | In spam: 0
'position', 'portland' | In regular: 1 | In spam: 0
'botulinum', 'toxin' | In regular: 1 | In spam: 0
'feel', 'microsoft' | In regular: 0 | In spam: 1
'this', 'trick' | In regular: 0 | In spam: 1
'went', 'far' | In regular: 0 | In spam: 1
'consider', 'themselves' | In regular: 0 | In spam: 1
'paris', 'hilton' | In regular: 0 | In spam: 1
'putangloverhotmailcom', 'hksunflowerhotmailcom' | In regular: 0 | In spam: 1
'that', 'cyper' | In regular: 0 | In spam: 1
'burkina', 'diarra' | In regular: 0 | In spam: 1
'classname', 'interception' | In regular: 0 | In spam: 1
'that', 'deserve' | In regular: 0 | In spam: 1
'plan', 'world' | In regular: 0 | In spam: 1
'color', 'tips' | In regular: 0 | In spam: 1
'that', 'future' | In regular: 1 | In spam: 0
'style', 'initheight' | In regular: 0 | In spam: 1
'sent', 'like' | In regular: 0 | In spam: 1
'workforce', 'workforce' | In regular: 0 | In spam: 1
'arial', 'that' | In regular: 0 | In spam: 1
'naacp', 'reserved' | In regular: 0 | In spam: 1
'herbivorous', 'birds' | In regular: 0 | In spam: 1
'image', 'favourites' | In regular: 0 | In spam: 1
'bbcshop', 'policy' | In regular: 0 | In spam: 1
'nasa', 'industry' | In regular: 1 | In spam: 0
'senese', 'senior' | In regular: 1 | In spam: 0
'publicly', 'update' | In regular: 0 | In spam: 1
'this', 'limbaugh' | In regular: 0 | In spam: 1
'yang', 'dine' | In regular: 1 | In spam: 0
'collateral', 'return' | In regular: 0 | In spam: 1
'directory', 'snake' | In regular: 0 | In spam: 1
'history', 'first' | In regular: 0 | In spam: 1
'changed', 'netscape' | In regular: 0 | In spam: 1
'health', 'primary' | In regular: 0 | In spam: 1
'international', 'graduate' | In regular: 1 | In spam: 0
'indexof', 'national' | In regular: 0 | In spam: 1
'creatures', 'birds' | In regular: 0 | In spam: 1
'player', 'visibility' | In regular: 0 | In spam: 1
'for', 'bulacuairugnl' | In regular: 7 | In spam: 0
'novartis', 'institutes' | In regular: 1 | In spam: 0
'that', 'from' | In regular: 0 | In spam: 2
'shocking', 'nssrc' | In regular: 0 | In spam: 1
'your', 'width' | In regular: 0 | In spam: 1
'medical', 'winner' | In regular: 0 | In spam: 1
'region', 'changed' | In regular: 0 | In spam: 1
'organization', 'could' | In regular: 0 | In spam: 1
'britishhotmailcom', 'anapiazzhotmailcom' | In regular: 0 | In spam: 1
'services', 'suggestions' | In regular: 0 | In spam: 1
'filenamequery', 'regarding' | In regular: 1 | In spam: 0
'service', 'related' | In regular: 0 | In spam: 1
'archives', 'work' | In regular: 0 | In spam: 1
'environment', 'national' | In regular: 0 | In spam: 1
'enric', 'hernandez' | In regular: 1 | In spam: 0
'tomographic', 'imaging' | In regular: 1 | In spam: 0
'onwa', 'epos' | In regular: 1 | In spam: 0
'options', 'sports' | In regular: 0 | In spam: 1
'netherlands', 'ophthalmic' | In regular: 2 | In spam: 0
'helvetica', 'helvetica' | In regular: 0 | In spam: 1
'hers', 'simple' | In regular: 0 | In spam: 1
'surprising', 'classifications' | In regular: 1 | In spam: 0
'thewindow', 'return' | In regular: 0 | In spam: 1
'privacy', 'joke' | In regular: 0 | In spam: 1
'media', 'today' | In regular: 0 | In spam: 1
'toward', 'personality' | In regular: 0 | In spam: 1
'statistical', 'knowledgebased' | In regular: 1 | In spam: 0
'function', 'dbquery' | In regular: 0 | In spam: 1
'solves', 'realworld' | In regular: 1 | In spam: 0
'cara', 'humphrey' | In regular: 0 | In spam: 2
'function', 'submitform' | In regular: 0 | In spam: 1
'super', 'savings' | In regular: 0 | In spam: 1
'time', 'tried' | In regular: 1 | In spam: 0
'false', 'files' | In regular: 0 | In spam: 1
'subject', 'article' | In regular: 0 | In spam: 1
'information', 'httpwwwmpinlworldcolloquiaindexhtml' | In regular: 1 | In spam: 0
'klueva', 'thomas' | In regular: 1 | In spam: 0
'ilie', 'pppfxro' | In regular: 1 | In spam: 0
'rebels', 'promised' | In regular: 0 | In spam: 1
'appname', 'reaction' | In regular: 0 | In spam: 1
'raam', 'that' | In regular: 0 | In spam: 1
'vbgpgepguk', 'mmup' | In regular: 0 | In spam: 1
'return', 'life' | In regular: 0 | In spam: 1
'eval', 'place' | In regular: 0 | In spam: 1
'submitform', 'depended' | In regular: 0 | In spam: 1
'attempts', 'audible' | In regular: 0 | In spam: 1
'foveal', 'acuity' | In regular: 1 | In spam: 0
'right', 'eval' | In regular: 0 | In spam: 1
'weight', 'dixieland' | In regular: 0 | In spam: 1
'leads', 'observer' | In regular: 0 | In spam: 1
'behind', 'dececration' | In regular: 0 | In spam: 1
'opera', 'eval' | In regular: 0 | In spam: 1
'oaspage', 'mission' | In regular: 0 | In spam: 1
'government', 'coast' | In regular: 0 | In spam: 1
'closing', 'style' | In regular: 0 | In spam: 1
'ralaeleehotmailcom', 'jovyoyleunghotmailcom' | In regular: 0 | In spam: 1
'weight', 'without' | In regular: 0 | In spam: 1
'krdregistration', 'message' | In regular: 0 | In spam: 1
'facecourier', 'new' | In regular: 0 | In spam: 19
'starting', 'prototype' | In regular: 0 | In spam: 1
'onloadscript', 'layername' | In regular: 0 | In spam: 1
'were', 'section' | In regular: 0 | In spam: 1
'dave', 'offsetleft' | In regular: 0 | In spam: 1
'discount', 'admission' | In regular: 1 | In spam: 0
'nearly', 'every' | In regular: 0 | In spam: 1
'messageid', 'acfaedfbairugnl' | In regular: 1 | In spam: 0
'nature', 'pack' | In regular: 0 | In spam: 1
'dslprodigynetmx', 'dslprodigynetmx' | In regular: 0 | In spam: 1
'opposing', 'work' | In regular: 0 | In spam: 1
'determined', 'negotiated' | In regular: 0 | In spam: 1
'brain', 'consciousness' | In regular: 1 | In spam: 0
'mercantile', 'book' | In regular: 0 | In spam: 1
'that', 'careers' | In regular: 0 | In spam: 1
'xorbahhotmailcom', 'garydurnhotmailcom' | In regular: 0 | In spam: 1
'bold', 'idea' | In regular: 0 | In spam: 1
'undertakes', 'obligation' | In regular: 0 | In spam: 1
'viagra', 'freenbspbr' | In regular: 0 | In spam: 1
'its', 'nice' | In regular: 1 | In spam: 0
'dream', 'device' | In regular: 1 | In spam: 0
'document', 'product' | In regular: 0 | In spam: 1
'regulates', 'complexity' | In regular: 1 | In spam: 0
'protection', 'from' | In regular: 0 | In spam: 1
'unnamed', 'original' | In regular: 0 | In spam: 1
'syndicated', 'resign' | In regular: 0 | In spam: 1
'background', 'classname' | In regular: 0 | In spam: 1
'crownprins', 'maxima' | In regular: 1 | In spam: 0
'unlimited', 'services' | In regular: 0 | In spam: 1
'lipspan', 'classdwspansbrin' | In regular: 0 | In spam: 2
'onloadscript', 'extra' | In regular: 0 | In spam: 1
'used', 'professional' | In regular: 0 | In spam: 1
'bybee', 'banachspaceshotmailcom' | In regular: 0 | In spam: 1
'httpwwwairugnljvandijk', 'its' | In regular: 1 | In spam: 0
'construction', 'and' | In regular: 0 | In spam: 1
'variety', 'artist' | In regular: 0 | In spam: 1
'from', 'boldfishieeeorg' | In regular: 2 | In spam: 0
'because', 'array' | In regular: 0 | In spam: 1
'blue', 'seems' | In regular: 0 | In spam: 1
'accelerated', 'online' | In regular: 0 | In spam: 1
'wwwfensorg', 'job' | In regular: 1 | In spam: 0
'islands', 'therefore' | In regular: 0 | In spam: 1
'than', 'other' | In regular: 0 | In spam: 2
'body', 'surveyroot' | In regular: 0 | In spam: 1
'message', 'mailtotialertieeeorg' | In regular: 1 | In spam: 0
'mail', 'message' | In regular: 1 | In spam: 0
'publication', 'entertainment' | In regular: 0 | In spam: 1
'family', 'obtain' | In regular: 0 | In spam: 1
'where', 'most' | In regular: 2 | In spam: 0
'popuppath', 'that' | In regular: 0 | In spam: 1
'what', 'several' | In regular: 0 | In spam: 1
'from', 'nibr' | In regular: 1 | In spam: 0
'meer', 'informatie' | In regular: 1 | In spam: 0
'leaders', 'direct' | In regular: 0 | In spam: 1
'haideehotmailcom', 'jovyperhotmailcom' | In regular: 0 | In spam: 1
'resent', 'rebel' | In regular: 0 | In spam: 1
'guide', 'innerheight' | In regular: 0 | In spam: 1
'choice', 'teach' | In regular: 0 | In spam: 1
'access', 'membersonly' | In regular: 1 | In spam: 0
'main', 'regularly' | In regular: 0 | In spam: 1
'padding', 'former' | In regular: 0 | In spam: 1
'donders', 'colloquia' | In regular: 2 | In spam: 0
'nearly', 'years' | In regular: 0 | In spam: 1
'members', 'could' | In regular: 1 | In spam: 0
'business', 'about' | In regular: 0 | In spam: 1
'wammeshotmailcom', 'johncdhotmailcom' | In regular: 0 | In spam: 1
'later', 'starting' | In regular: 0 | In spam: 1
'december', 'utrecht' | In regular: 2 | In spam: 0
'write', 'return' | In regular: 0 | In spam: 2
'possibly', 'republicans' | In regular: 0 | In spam: 1
'there', 'this' | In regular: 0 | In spam: 2
'psyxairugnl', '' | In regular: 7 | In spam: 0
'however', 'mail' | In regular: 0 | In spam: 1
'the', 'neurobiological' | In regular: 1 | In spam: 0
'navigator', 'which' | In regular: 0 | In spam: 1
'twist', 'wrist' | In regular: 0 | In spam: 1
'you', 'didnt' | In regular: 1 | In spam: 0
'resizefix', 'language' | In regular: 0 | In spam: 1
'only', 'comment' | In regular: 0 | In spam: 1
'stated', 'king' | In regular: 0 | In spam: 1
'rates', 'move' | In regular: 0 | In spam: 2
'media', 'said' | In regular: 1 | In spam: 0
'text', 'means' | In regular: 0 | In spam: 1
'seem', 'publishername' | In regular: 0 | In spam: 1
'yosuke', 'yamauchi' | In regular: 1 | In spam: 0
'verdana', 'ignorant' | In regular: 0 | In spam: 1
'decoration', 'children' | In regular: 0 | In spam: 1
'decoration', 'latest' | In regular: 0 | In spam: 1
'peace', 'service' | In regular: 0 | In spam: 1
'understand', 'that' | In regular: 0 | In spam: 2
'have', 'expanded' | In regular: 0 | In spam: 1
'ramer', 'elizabeth' | In regular: 1 | In spam: 0
'softball', 'material' | In regular: 0 | In spam: 1
'me', 'hammer' | In regular: 0 | In spam: 1
'herself', 'rating' | In regular: 0 | In spam: 1
'media', 'templates' | In regular: 0 | In spam: 1
'ciara', 'heider' | In regular: 0 | In spam: 1
'irked', 'document' | In regular: 0 | In spam: 1
'akortmannhotmailcom', 'jcrewhotmailcom' | In regular: 0 | In spam: 1
'monica', '' | In regular: 0 | In spam: 1
'people', 'believe' | In regular: 0 | In spam: 1
'krddartinc', 'reads' | In regular: 0 | In spam: 1
'almost', 'anything' | In regular: 0 | In spam: 1
'himself', 'dismiss' | In regular: 0 | In spam: 1
'stock', 'and' | In regular: 0 | In spam: 1
'applied', 'problem' | In regular: 1 | In spam: 0
'totp', 'document' | In regular: 0 | In spam: 1
'jcsanchezjrhotmailcom', 'shaneushotmailcom' | In regular: 0 | In spam: 1
'higher', 'dont' | In regular: 0 | In spam: 1
'become', 'staple' | In regular: 0 | In spam: 1
'october', 'prototype' | In regular: 0 | In spam: 1
'week', 'learning' | In regular: 1 | In spam: 0
'ezaki', 'ezakitobacmtacjp' | In regular: 2 | In spam: 0
'klaus', 'klebs' | In regular: 1 | In spam: 0
'demand', 'animation' | In regular: 0 | In spam: 1
'submitted', 'text' | In regular: 0 | In spam: 1
'gotten', 'function' | In regular: 0 | In spam: 1
'requi', 'ignoring' | In regular: 0 | In spam: 1
'', 'helo' | In regular: 1 | In spam: 0
'with', 'partners' | In regular: 0 | In spam: 1
'vheine', '' | In regular: 3 | In spam: 0
'renew', 'your' | In regular: 2 | In spam: 0
'mbulacuhotmailcom', 'banachspaceshotmailcom' | In regular: 0 | In spam: 2
'video', 'sounds' | In regular: 0 | In spam: 1
'dzau', 'laura' | In regular: 1 | In spam: 0
'when', 'clicking' | In regular: 1 | In spam: 0
'jobs', 'nsnavbtntxt' | In regular: 0 | In spam: 1
'woodruff', 'andras' | In regular: 1 | In spam: 0
'suggestion', 'economy' | In regular: 0 | In spam: 1
'object', 'document' | In regular: 0 | In spam: 1
'features', 'uppercase' | In regular: 1 | In spam: 0
'ceremony', 'after' | In regular: 0 | In spam: 1
'ssite', 'this' | In regular: 0 | In spam: 1
'', 'march' | In regular: 1 | In spam: 1
'contentdisposition', 'attachment' | In regular: 2 | In spam: 0
'order', 'from' | In regular: 0 | In spam: 4
'effect', 'navigator' | In regular: 0 | In spam: 1
'this', 'market' | In regular: 0 | In spam: 1
'usbenabled', '' | In regular: 0 | In spam: 1
'chemotherapy', 'radiation' | In regular: 0 | In spam: 1
'eaton', 'banacihotmailcom' | In regular: 0 | In spam: 1
'wholly', 'exhilarating' | In regular: 0 | In spam: 1
'xinhua', 'quoted' | In regular: 2 | In spam: 0
'spokeswoman', 'asked' | In regular: 0 | In spam: 1
'', 'trackerid' | In regular: 0 | In spam: 1
'cyper', 'now' | In regular: 0 | In spam: 1
'black', 'straddling' | In regular: 0 | In spam: 1
'return', 'talk' | In regular: 0 | In spam: 1
'comments', 'colony' | In regular: 0 | In spam: 1
'page', 'home' | In regular: 0 | In spam: 1
'november', 'family' | In regular: 0 | In spam: 1
'brain', 'protection' | In regular: 1 | In spam: 0
'sector', 'animation' | In regular: 0 | In spam: 1
'online', 'arial' | In regular: 0 | In spam: 1
'election', 'have' | In regular: 1 | In spam: 1
'its', 'important' | In regular: 1 | In spam: 0
'second', 'stage' | In regular: 1 | In spam: 0
'yago', 'mariajose' | In regular: 1 | In spam: 0
'contenttype', 'textplain' | In regular: 30 | In spam: 5
'rubbed', 'eyes' | In regular: 0 | In spam: 1
'motor', 'message' | In regular: 0 | In spam: 1
'whole', 'body' | In regular: 0 | In spam: 1
'though', 'can' | In regular: 0 | In spam: 1
'fens', 'office' | In regular: 6 | In spam: 0
'tel', 'br' | In regular: 1 | In spam: 0
'week', 'prep' | In regular: 0 | In spam: 1
'this', 'divname' | In regular: 0 | In spam: 1
'classdpbiggerspan', 'luscious' | In regular: 0 | In spam: 2
'with', 'rates' | In regular: 0 | In spam: 5
'their', 'find' | In regular: 0 | In spam: 1
'student', 'training' | In regular: 1 | In spam: 0
'most', 'sophisticated' | In regular: 1 | In spam: 0
'middle', 'sans' | In regular: 0 | In spam: 1
'became', 'familiar' | In regular: 0 | In spam: 1
'verdana', 'body' | In regular: 0 | In spam: 2
'icip', 'technical' | In regular: 1 | In spam: 0
'', 'tolocalparteqreal' | In regular: 1 | In spam: 0
'neural', 'adaptive' | In regular: 1 | In spam: 0
'different', 'clients' | In regular: 0 | In spam: 1
'making', 'club' | In regular: 0 | In spam: 1
'write', 'indexof' | In regular: 0 | In spam: 1
'gappytext', '' | In regular: 0 | In spam: 1
'document', 'forms' | In regular: 0 | In spam: 1
'winopts', 'winopts' | In regular: 0 | In spam: 1
'just', 'help' | In regular: 0 | In spam: 1
'candidates', 'carl' | In regular: 0 | In spam: 1
'helvetica', 'verdana' | In regular: 0 | In spam: 1
'this', 'football' | In regular: 0 | In spam: 1
'most', 'populous' | In regular: 2 | In spam: 0
'dreams', 'aloneali' | In regular: 0 | In spam: 1
'font', 'sans' | In regular: 0 | In spam: 1
'text', 'background' | In regular: 0 | In spam: 1
'thomas', 'sikora' | In regular: 1 | In spam: 0
'third', 'have' | In regular: 0 | In spam: 1
'xpos', 'showresults' | In regular: 0 | In spam: 1
'website', 'that' | In regular: 0 | In spam: 1
'that', 'caffeine' | In regular: 0 | In spam: 1
'cypm', 'management' | In regular: 0 | In spam: 1
'shims', 'shells' | In regular: 0 | In spam: 1
'lexe', 'washed' | In regular: 0 | In spam: 1
'from', 'major' | In regular: 0 | In spam: 1
'france', 'else' | In regular: 0 | In spam: 1
'read', 'table' | In regular: 2 | In spam: 0
'worlds', 'most' | In regular: 3 | In spam: 0
'left', 'color' | In regular: 0 | In spam: 1
'you', 'their' | In regular: 3 | In spam: 0
'saccades', 'next' | In regular: 1 | In spam: 0
'maxima', 'born' | In regular: 1 | In spam: 0
'just', 'weeksfont' | In regular: 0 | In spam: 1
'theis', 'maria' | In regular: 1 | In spam: 0
'hide', 'peattie' | In regular: 0 | In spam: 1
'have', 'verdana' | In regular: 0 | In spam: 1
'information', 'giant' | In regular: 0 | In spam: 1
'unique', 'properties' | In regular: 0 | In spam: 1
'pixar', 'disney' | In regular: 0 | In spam: 1
'similar', 'technical' | In regular: 1 | In spam: 0
'limbaugh', 'players' | In regular: 0 | In spam: 1
'grant', 'danielle' | In regular: 1 | In spam: 0
'width', 'conflict' | In regular: 0 | In spam: 1
'resizefix', 'this' | In regular: 0 | In spam: 4
'brsrc', 'travel' | In regular: 0 | In spam: 1
'share', 'although' | In regular: 0 | In spam: 1
'message', 'framework' | In regular: 1 | In spam: 0
'normal', 'document' | In regular: 0 | In spam: 1
'placed', 'just' | In regular: 0 | In spam: 1
'vickyhotmailcom', 'tazzhotmailcom' | In regular: 0 | In spam: 1
'center', 'vice' | In regular: 0 | In spam: 1
'section', 'copes' | In regular: 0 | In spam: 1
'', 'gappytext' | In regular: 0 | In spam: 1
'guide', 'talk' | In regular: 0 | In spam: 1
'homepage', 'headlines' | In regular: 0 | In spam: 1
'http', 'privacy' | In regular: 0 | In spam: 1
'european', 'parliament' | In regular: 1 | In spam: 0
'main', 'beginners' | In regular: 0 | In spam: 1
'sunetabhadrahotmailcom', 'toadiekshotmailcom' | In regular: 0 | In spam: 1
'magendie', 'cnrs' | In regular: 1 | In spam: 0
'quite', 'curious' | In regular: 0 | In spam: 1
'starting', 'street' | In regular: 0 | In spam: 1
'montpellier', 'inserm' | In regular: 2 | In spam: 0
'this', 'onresize' | In regular: 0 | In spam: 1
'activities', 'board' | In regular: 1 | In spam: 0
'issue', 'font' | In regular: 0 | In spam: 1
'receive', 'quality' | In regular: 1 | In spam: 0
'else', 'color' | In regular: 0 | In spam: 1
'goon', 'site' | In regular: 0 | In spam: 1
'essentially', 'normal' | In regular: 0 | In spam: 1
'releases', 'main' | In regular: 0 | In spam: 1
